"","date","un_region","who_region","country","iso_code","cases_new","cases_total","deaths_new","deaths_total","recovered_new","recovered_total","hosp_new","hosp_total","tested_new","tested_total"
"216",2020-02-02,"Europe","EURO","United Kingdom","GB",0,1,0,0,NA,NA,NA,NA,NA,NA
"217",2020-02-02,"Americas","AMRO","United States","US",1,4,0,0,NA,NA,NA,NA,NA,NA
"218",2020-02-03,"Americas","AMRO","Canada","CA",0,4,0,0,NA,NA,NA,NA,NA,NA
"219",2020-02-03,"Asia","WPRO","China","CN",2827,17238,64,425,NA,NA,NA,NA,NA,NA
"220",2020-02-03,"Europe","EURO","France","FR",0,6,0,0,NA,NA,NA,NA,NA,NA
"221",2020-02-03,"Europe","EURO","Germany","DE",0,12,0,0,NA,NA,NA,NA,NA,NA
"222",2020-02-03,"Europe","EURO","Italy","IT",0,3,0,0,NA,NA,NA,NA,NA,NA
"223",2020-02-03,"Europe","EURO","United Kingdom","GB",0,1,0,0,NA,NA,NA,NA,NA,NA
"224",2020-02-03,"Americas","AMRO","United States","US",1,5,0,0,NA,NA,NA,NA,NA,NA
"225",2020-02-04,"Americas","AMRO","Canada","CA",4,8,0,0,NA,NA,NA,NA,NA,NA
"226",2020-02-04,"Asia","WPRO","China","CN",3233,20471,66,491,NA,NA,NA,NA,NA,NA
"227",2020-02-04,"Europe","EURO","France","FR",0,6,0,0,NA,NA,NA,NA,NA,NA
"228",2020-02-04,"Europe","EURO","Germany","DE",1,13,0,0,NA,NA,NA,NA,NA,NA
"229",2020-02-04,"Europe","EURO","Italy","IT",0,3,0,0,NA,NA,NA,NA,NA,NA
"230",2020-02-04,"Europe","EURO","United Kingdom","GB",1,2,0,0,NA,NA,NA,NA,NA,NA
"231",2020-02-04,"Americas","AMRO","United States","US",3,8,0,0,NA,NA,NA,NA,NA,NA
"232",2020-02-05,"Americas","AMRO","Canada","CA",1,9,0,0,NA,NA,NA,NA,NA,NA
"233",2020-02-05,"Asia","WPRO","China","CN",3892,24363,72,563,NA,NA,NA,NA,NA,NA
"234",2020-02-05,"Europe","EURO","France","FR",0,6,0,0,NA,NA,NA,NA,NA,NA
"235",2020-02-05,"Europe","EURO","Germany","DE",4,17,0,0,NA,NA,NA,NA,NA,NA
"236",2020-02-05,"Europe","EURO","Italy","IT",0,3,0,0,NA,NA,NA,NA,NA,NA
"237",2020-02-05,"Europe","EURO","United Kingdom","GB",19,21,0,0,NA,NA,NA,NA,NA,NA
"238",2020-02-05,"Americas","AMRO","United States","US",3,11,0,0,NA,NA,NA,NA,NA,NA
"239",2020-02-06,"Americas","AMRO","Canada","CA",0,9,0,0,NA,NA,NA,NA,NA,NA
"240",2020-02-06,"Asia","WPRO","China","CN",3697,28060,70,633,NA,NA,NA,NA,NA,NA
"241",2020-02-06,"Europe","EURO","France","FR",0,6,0,0,NA,NA,NA,NA,NA,NA
"242",2020-02-06,"Europe","EURO","Germany","DE",2,19,0,0,NA,NA,NA,NA,NA,NA
"243",2020-02-06,"Europe","EURO","Italy","IT",0,3,0,0,NA,NA,NA,NA,NA,NA
"244",2020-02-06,"Europe","EURO","United Kingdom","GB",0,21,0,0,NA,NA,NA,NA,NA,NA
"245",2020-02-06,"Americas","AMRO","United States","US",0,11,0,0,NA,NA,NA,NA,NA,NA
"246",2020-02-07,"Americas","AMRO","Canada","CA",0,5,0,0,NA,NA,NA,NA,NA,NA
"247",2020-02-07,"Asia","WPRO","China","CN",3151,31211,85,718,NA,NA,NA,NA,NA,NA
"248",2020-02-07,"Europe","EURO","France","FR",0,6,0,0,NA,NA,NA,NA,NA,NA
"249",2020-02-07,"Europe","EURO","Germany","DE",1,20,0,0,NA,NA,NA,NA,NA,NA
"250",2020-02-07,"Europe","EURO","Italy","IT",0,3,0,0,NA,NA,NA,NA,NA,NA
"251",2020-02-07,"Europe","EURO","United Kingdom","GB",1,22,0,0,NA,NA,NA,NA,NA,NA
"252",2020-02-07,"Americas","AMRO","United States","US",0,11,0,0,NA,NA,NA,NA,NA,NA
"253",2020-02-08,"Americas","AMRO","Canada","CA",2,7,0,0,NA,NA,NA,NA,NA,NA
"254",2020-02-08,"Asia","WPRO","China","CN",3387,34598,87,805,NA,NA,NA,NA,NA,NA
"255",2020-02-08,"Europe","EURO","France","FR",5,11,0,0,NA,NA,NA,NA,NA,NA
"256",2020-02-08,"Europe","EURO","Germany","DE",1,21,0,0,NA,NA,NA,NA,NA,NA
"257",2020-02-08,"Europe","EURO","Italy","IT",0,3,0,0,NA,NA,NA,NA,NA,NA
"258",2020-02-08,"Europe","EURO","United Kingdom","GB",0,22,0,0,NA,NA,NA,NA,NA,NA
"259",2020-02-08,"Americas","AMRO","United States","US",0,11,0,0,NA,NA,NA,NA,NA,NA
"260",2020-02-09,"Americas","AMRO","Canada","CA",0,7,0,0,NA,NA,NA,NA,NA,NA
"261",2020-02-09,"Asia","WPRO","China","CN",2653,37251,100,905,NA,NA,NA,NA,NA,NA
"262",2020-02-09,"Europe","EURO","France","FR",0,11,0,0,NA,NA,NA,NA,NA,NA
